Date,Store,Category,Sales
2015-01-01,Bangalore,Electronics,2336
2015-01-03,Mumbai,Groceries,1823
2015-01-04,Delhi,Groceries,2094
2015-01-06,Hyderabad,Electronics,2558
2015-01-07,Hyderabad,Clothing,1930
2015-01-08,Chennai,Electronics,2013
2015-01-09,Mumbai,Furniture,2320
2015-01-10,Hyderabad,Furniture,1852
2015-01-11,Hyderabad,Furniture,2052
2015-01-13,Bangalore,Groceries,2526
2015-01-14,Chennai,Clothing,2159
2015-01-15,Delhi,Groceries,2245
2015-01-16,Delhi,Clothing,2524
2015-01-18,Hyderabad,Electronics,2156
2015-01-19,Chennai,Furniture,1933
2015-01-21,Mumbai,Furniture,1973
2015-01-23,Chennai,Furniture,2134
2015-01-24,Bangalore,Groceries,2336
2015-01-25,Mumbai,Furniture,1982
2015-01-26,Chennai,Clothing,2345
2015-01-27,Hyderabad,Groceries,2395
2015-01-28,Chennai,Furniture,2109
2015-01-29,Hyderabad,Electronics,2008
2015-01-30,Hyderabad,Furniture,2275
2015-01-31,Delhi,Furniture,2189
2015-02-01,Delhi,Groceries,2499
2015-02-02,Chennai,Clothing,2903
2015-02-03,Chennai,Furniture,2453
2015-02-07,Chennai,Groceries,1994
2015-02-08,Delhi,Clothing,2712
2015-02-09,Bangalore,Electronics,1763
2015-02-10,Mumbai,Furniture,2579
2015-02-11,Chennai,Groceries,2172
2015-02-12,Delhi,Electronics,2279
2015-02-13,Delhi,Groceries,2163
2015-02-14,Delhi,Groceries,2866
2015-02-15,Hyderabad,Electronics,2437
2015-02-17,Chennai,Groceries,2823
2015-02-18,Bangalore,Electronics,2482
2015-02-19,Chennai,Groceries,2074
2015-02-21,Bangalore,Groceries,2210
2015-02-22,Mumbai,Furniture,2281
2015-02-23,Mumbai,Groceries,2404
2015-02-24,Chennai,Furniture,2392
2015-02-25,Bangalore,Furniture,2556
2015-02-26,Chennai,Groceries,2600
2015-02-27,Bangalore,Electronics,2392
2015-02-28,Bangalore,Clothing,2554
2015-03-01,Chennai,Clothing,2335
2015-03-02,Bangalore,Groceries,2894
2015-03-03,Delhi,Electronics,2330
2015-03-04,Bangalore,Electronics,2859
2015-03-05,Bangalore,Clothing,2057
2015-03-07,Mumbai,Groceries,2400
2015-03-08,Hyderabad,Groceries,2583
2015-03-09,Bangalore,Electronics,2758
2015-03-10,Hyderabad,Groceries,2125
2015-03-11,Bangalore,Furniture,2167
2015-03-12,Chennai,Clothing,2079
2015-03-13,Chennai,Groceries,2896
2015-03-14,Bangalore,Electronics,2589
2015-03-15,Chennai,Clothing,2174
2015-03-16,Chennai,Groceries,2367
2015-03-17,Bangalore,Clothing,2854
2015-03-18,Mumbai,Electronics,2416
2015-03-19,Bangalore,Furniture,2398
2015-03-20,Mumbai,Furniture,2265
2015-03-21,Chennai,Groceries,2192
2015-03-22,Mumbai,Furniture,2854
2015-03-23,Chennai,Groceries,3002
2015-03-24,Mumbai,Clothing,2204
2015-03-25,Mumbai,Groceries,2921
2015-03-26,Bangalore,Groceries,2353
2015-03-27,Mumbai,Groceries,2660
2015-03-28,Chennai,Furniture,2923
2015-03-29,Bangalore,Groceries,2456
2015-03-30,Mumbai,Electronics,2401
2015-04-01,Hyderabad,Clothing,2100
2015-04-02,Bangalore,Electronics,2777
2015-04-03,Hyderabad,Clothing,2475
2015-04-04,Hyderabad,Clothing,2259
2015-04-05,Bangalore,Clothing,2251
2015-04-07,Chennai,Electronics,2272
2015-04-08,Chennai,Furniture,2353
2015-04-10,Hyderabad,Groceries,2419
2015-04-11,Bangalore,Clothing,2574
2015-04-12,Chennai,Furniture,2368
2015-04-13,Chennai,Electronics,2631
2015-04-15,Hyderabad,Electronics,2734
2015-04-16,Bangalore,Furniture,2469
2015-04-17,Delhi,Electronics,2896
2015-04-18,Delhi,Electronics,3157
2015-04-19,Bangalore,Clothing,2291
2015-04-20,Hyderabad,Groceries,2304
2015-04-21,Chennai,Electronics,2359
2015-04-22,Delhi,Furniture,2611
2015-04-23,Delhi,Electronics,2830
2015-04-24,Hyderabad,Electronics,2237
2015-04-26,Delhi,Clothing,2392
2015-04-28,Bangalore,Clothing,2885
2015-04-29,Chennai,Clothing,2360
2015-05-01,Delhi,Electronics,2473
2015-05-02,Chennai,Groceries,2000
2015-05-04,Delhi,Furniture,2486
2015-05-05,Chennai,Groceries,2339
2015-05-06,Mumbai,Clothing,2219
2015-05-07,Mumbai,Groceries,2077
2015-05-09,Mumbai,Electronics,2459
2015-05-10,Mumbai,Electronics,2174
2015-05-12,Hyderabad,Electronics,2369
2015-05-13,Hyderabad,Electronics,2087
2015-05-14,Delhi,Furniture,2570
2015-05-15,Delhi,Groceries,2595
2015-05-16,Bangalore,Electronics,2184
2015-05-17,Hyderabad,Furniture,2608
2015-05-18,Mumbai,Furniture,2083
2015-05-19,Delhi,Clothing,2297
2015-05-20,Mumbai,Furniture,2421
2015-05-21,Hyderabad,Clothing,2485
2015-05-22,Chennai,Electronics,2436
2015-05-23,Chennai,Clothing,2150
2015-05-24,Delhi,Furniture,2578
2015-05-25,Bangalore,Groceries,2212
2015-05-26,Mumbai,Groceries,2079
2015-05-28,Bangalore,Electronics,2831
2015-05-29,Mumbai,Groceries,2027
2015-05-30,Hyderabad,Clothing,2637
2015-05-31,Chennai,Electronics,1909
2015-06-01,Bangalore,Furniture,2146
2015-06-02,Mumbai,Electronics,2089
2015-06-05,Delhi,Furniture,1720
2015-06-06,Chennai,Furniture,1965
2015-06-07,Chennai,Furniture,2499
2015-06-08,Mumbai,Clothing,1734
2015-06-09,Mumbai,Clothing,1223
2015-06-12,Bangalore,Clothing,1695
2015-06-13,Bangalore,Clothing,2254
2015-06-14,Bangalore,Clothing,1689
2015-06-15,Mumbai,Groceries,1956
2015-06-16,Bangalore,Clothing,2225
2015-06-17,Mumbai,Furniture,1643
2015-06-18,Chennai,Groceries,2054
2015-06-19,Hyderabad,Clothing,2364
2015-06-20,Chennai,Furniture,2142
2015-06-21,Mumbai,Electronics,1783
2015-06-22,Mumbai,Groceries,2455
2015-06-23,Hyderabad,Furniture,2197
2015-06-24,Delhi,Electronics,1441
2015-06-25,Delhi,Furniture,2259
2015-06-26,Delhi,Clothing,1828
2015-06-27,Bangalore,Clothing,2058
2015-06-28,Delhi,Electronics,2302
